ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
00000000,BCO DO BRASIL S.A.,001,Sim,RSFN,Banco do Brasil S.A.                                                            ,22/04/2002
00000208,BRB - BCO DE BRASILIA S.A.,070,Sim,RSFN,Banco de Brasília S.A.                                                          ,22/04/2002
00038121,Selic                              ,n/a,Não,RSFN,Banco Central do Brasil - Selic                                                 ,22/04/2002
00038166,Bacen                              ,n/a,Não,RSFN,Banco Central do Brasil                                                         ,22/04/2002
00250699,AGK CC S.A.,272,Não,RSFN,AGK Corretora de Câmbio S.A.                                                    ,21/11/2018
00315557,CONF NAC COOP CENTRAIS UNICRED,136,Sim,RSFN,Confederação Nacional das Cooperativas Centrais Unicred Ltda – Unicred do Brasil,28/07/2014
00360305,CAIXA ECONOMICA FEDERAL,104,Sim,RSFN,Caixa Econômica Federal                                                         ,22/04/2002
00394460,STN                                ,n/a,Não,RSFN,Secretaria do Tesouro Nacional - STN                                            ,22/04/2002
00416968,BANCO INTER,077,Sim,RSFN,Banco Inter S.A.                                                                ,15/08/2008
00517645,BCO RIBEIRAO PRETO S.A.,741,Sim,RSFN,Banco Ribeirão Preto S.A.                                                       ,22/04/2002
00558456,BCO CETELEM S.A.,739,Sim,RSFN,Banco Cetelem S.A.                                                              ,22/04/2002
00795423,BANCO SEMEAR,743,Sim,RSFN,Banco Semear S.A.                                                               ,22/04/2002
00806535,PLANNER CV S.A.,100,Não,RSFN,Planner Corretora de Valores S.A.                                               ,27/04/2011
00997185,BCO B3 S.A.,096,Não,RSFN,Banco B3 S.A.                                                                   ,12/11/2004
01023570,BCO RABOBANK INTL BRASIL S.A.,747,Sim,RSFN,Banco Rabobank International Brasil S.A.                                        ,22/04/2002
01181521,BCO COOPERATIVO SICREDI S.A.,748,Sim,RSFN,Banco Cooperativo Sicredi S. A.                                                 ,22/04/2002
01522368,BCO BNP PARIBAS BRASIL S A,752,Sim,RSFN,Banco BNP Paribas Brasil S.A.                                                   ,22/04/2002
01634601,CCCM UNICRED CENTRAL RS,091,Não,RSFN,Central de Cooperativas de Economia e Crédito Mútuo do Est RS - Unicred         ,22/11/2010
01701201,KIRTON BANK,399,Não,RSFN,Kirton Bank S.A. - Banco Múltiplo                                               ,22/04/2002
01800019,PORTOCRED S.A. - CFI,108,Não,RSFN,"PortoCred S.A. Crédito, Financiamento e Investimento                            ",03/11/2011
02038232,BANCOOB,756,Sim,RSFN,Banco Cooperativo do Brasil S/A - Bancoob                                       ,22/04/2002
02318507,BCO KEB HANA DO BRASIL S.A.,757,Sim,RSFN,Banco Keb Hana do Brasil S. A.                                                  ,22/04/2002
02332886,XP INVESTIMENTOS CCTVM S/A,102,Não,RSFN,XP Investimentos Corretora de Câmbio Títulos e Valores Mobiliários S.A.         ,22/11/2011
02398976,UNIPRIME NORTE DO PARANÁ - CC,084,Sim,RSFN,Uniprime Norte do Paraná - Cooperativa de Crédito Ltda.                         ,24/11/2009
02685483,CM CAPITAL MARKETS CCTVM LTDA,180,Não,RSFN,"CM Capital Markets Corretora de Câmbio, Títulos e Valores Mobiliários Ltda.     ",20/01/2017
02801938,BCO MORGAN STANLEY S.A.,066,Não,RSFN,Banco Morgan Stanley S. A.                                                      ,22/04/2002
02819125,UBS BRASIL CCTVM S.A.,015,Não,RSFN,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.              ",15/03/2011
02992317,TREVISO CC S.A.,143,Não,Internet,Treviso Corretora de Câmbio S.A.                                                ,24/08/2015
02992335,CIP Siloc                          ,n/a,Não,RSFN,Câmara Interbancária de Pagamentos - CIP - LDL                                  ,13/02/2004
03012230,HIPERCARD BM S.A.,062,Sim,RSFN,Hipercard Banco Múltiplo S.A.                                                   ,22/04/2002
03017677,BCO. J.SAFRA S.A.,074,Sim,RSFN,Banco J. Safra S.A.                                                             ,26/08/2004
03046391,UNIPRIME CENTRAL CCC LTDA.,099,Sim,RSFN,Uniprime Central – Central Interestadual de Cooperativas de Crédito Ltda.       ,11/01/2011
03323840,BCO ALFA S.A.,025,Sim,RSFN,Banco Alfa S.A.                                                                 ,22/04/2002
03532415,BCO ABN AMRO S.A.,075,Não,RSFN,Banco ABN Amro S.A.                                                             ,11/11/2005
03609817,BCO CARGILL S.A.,040,Sim,RSFN,Banco Cargill S.A.                                                              ,22/04/2002
